rank,brand,brand_ar,name_en,name_ar,rating,longevity,projection,year,price_ref,keyword_ar,keyword_en
793,TOM FORD,توم فورد,NoiR de NoiR,نوار للجسم بالكامل,4.32,3.6,3.2,2007,480,عطر نوار للجسم بالكامل,NoiR de NoiR
794,The Woods,ذا وودز كوليكشن,Secret Collection,كولكشن سيكريت,4.07,3.8,3.5,2020,12,عطر كولكشن سيكريت,Secret Collection
795,Valentino,فالنتينو,Uomo Born In Roma Coral Fantasy,بورن ان روما أومو فانتاسي,4.57,3.5,2.8,2022,420,عطر بورن ان روما أومو فانتاسي,Uomo Born In Roma Coral Fantasy
796,Yves Saint Laur,ايف سان لوران,Tuxedo Sharp Patchouli LAURENT,توكسيدو شارب باتشولي من,4.57,3.5,2.8,2025,17,عطر توكسيدو شارب باتشولي من,Tuxedo Sharp Patchouli LAURENT
797,AMOUAGE,امواج,Sunshine Man,سن شاين الرجالي,4.02,4,3.4,2015,690,عطر سن شاين الرجالي,Sunshine Man
798,Estee Lauder,استي لودر,Sensuous Noir,سنسوس نوار,4.12,3.8,3.4,2010,8,عطر سنسوس نوار,Sensuous Noir
799,Ex Nihilo,اكس نيهيلو,Amber Sky Ex,إكس عنبر سكاي,4.02,3.9,3.5,2016,1100,عطر إكس عنبر سكاي,Amber Sky Ex
800,JeanPaulGaultie,جان بول غولتير,Beau Paradise Garden Jean Paul Gaultier,لو بو بارادايس جاردن,4.32,3.7,3.1,2024,13,عطر لو بو بارادايس جاردن,Beau Paradise Garden Jean Paul Gaultier
801,Joop,جوب,Femme,فيم,3.97,3.9,3.6,1987,175,عطر فيم,Femme
802,Nicolai,نيكولاي,New York Intense Parfumeur Createur,نيو يورك إنتنس,4.27,3.8,3.1,2014,200,عطر نيو يورك إنتنس,New York Intense Parfumeur Createur
803,Nishane,نيشاني,Tuberoza,توبيروزا اكسترايت,4.02,3.9,3.5,2014,560,عطر توبيروزا اكسترايت,Tuberoza
804,Santi Burgas,سانتي بورجاس,Lotree,لوتري,3.92,4.2,3.4,2013,480,عطر لوتري,Lotree
805,Sospiro,سوسبيرو,Dolce Melodia,دولتشي ميلوديا,4.32,3.7,3.1,2023,850,عطر دولتشي ميلوديا,Dolce Melodia
806,Valentino,فالنتينو,Donna Born In Roma Yellow Dream,أومو إن روما يالو دريم,4.27,3.5,3.4,2021,440,عطر أومو إن روما يالو دريم,Donna Born In Roma Yellow Dream
807,XERJOFF,زيرجوف,Golden Dallah,قولدن دلة,4.12,3.8,3.4,2018,30,عطر قولدن دلة,Golden Dallah
808,Jeroboam,جيروبوم,Vespero,جيروبام فيسبيرو,4.16,3.8,3.3,2017,430,عطر جيروبام فيسبيرو,Vespero
809,Ormonde Jayne,اورموند جين,Montabaco,ارموند مونتباكو,4.21,3.7,3.3,2012,18,عطر ارموند مونتباكو,Montabaco
810,Paradis,باردايس,Cloud Nine des Sens pour homme et femme,كلاود ناين,4.16,3.8,3.3,2020,370,عطر كلاود ناين,Cloud Nine des Sens pour homme et femme
811,Boadicea,بوديسيا ذا فيكتوريوس,Fire Sapphire THE VICTORIOUS,فاير سافير,4.31,3.7,3.1,2020,2700,عطر فاير سافير,Fire Sapphire THE VICTORIOUS
812,Francesca Bia,فرانشيسكا بيانكي,Sex And The Sea Bianchi,بينتشي سكس اند ذا سي,3.61,4.2,4,2016,27,عطر بينتشي سكس اند ذا سي,Sex And The Sea Bianchi
813,Lorenzo,لورينزو بازاليا,Teint de Neige Villoresi,لون الثلج فيلوريسي تنت ناج,4.01,3.9,3.5,2000,12,عطر لون الثلج فيلوريسي تنت ناج,Teint de Neige Villoresi
814,Lorenzo Villo,لورينزو فيلوريسي,Teint de Neige Villoresi,لون الثلج تنت ناج البارفيوم,4.01,3.9,3.5,2000,410,عطر لون الثلج تنت ناج البارفيوم,Teint de Neige Villoresi
815,Louis Vuitton,لويس فيتون,Orage,اوراج,4.31,3.7,3.1,2018,1080,عطر اوراج,Orage
816,Mugler,موغلر,Angel Muse,تيري انجل ميوز,4.11,3.8,3.4,2016,440,عطر تيري انجل ميوز,Angel Muse
817,Robert Piguet,روبرت بيغيه,L'Insomnuit,روبيرت بيجيه لینسومنوي,4.16,3.7,3.4,2016,490,عطر روبيرت بيجيه لینسومنوي,L'Insomnuit
818,TOM FORD,توم فورد,Beau De Jour,بوا جور,4.31,3.7,3.1,2020,15,عطر بوا جور,Beau De Jour
819,XERJOFF,زيرجوف,Torino21,تورينو,4.46,3.6,2.9,2021,800,عطر تورينو,Torino21
820,YSL,ايف سان لوران,Yves Saint Laurent Cinema,سينما,4.11,3.8,3.4,2004,470,عطر سينما,Yves Saint Laurent Cinema
821,Zegna,زينيا,Javanese Patchouli,جافانيزي باتشول من,4.46,3.4,3.1,2012,16,عطر جافانيزي باتشول من,Javanese Patchouli
822,Emanuel Ungaro,انغارو,Diva,ايمانويل ديفا,4.06,3.8,3.5,1983,215,عطر ايمانويل ديفا,Diva
823,Francesca Bia,فرانشيسكا بيانكي,Under My Skin Bianchi,اندر ماي سكين من,4.06,4.1,3.2,2017,390,عطر اندر ماي سكين من,Under My Skin Bianchi
824,Jean Paul Gaultier,غوتييه,Scandal,جان بول غولتير سكاندال,3.86,3.9,3.8,2021,380,عطر جان بول غولتير سكاندال,Scandal
825,Montale,مونتال,Powder Flowers,باودر فلاور,3.76,4.2,3.7,,370,عطر باودر فلاور,Powder Flowers
826,XERJOFF,زيرجوف,Laylati,ليلتي,3.86,4,3.7,2019,800,عطر ليلتي,Laylati
827,Kenzo,كنزو,Homme Marine,هوم مارين,4.15,3.9,3.2,2023,240,عطر هوم مارين,Homme Marine
828,Nicolai,نيكولاي,roli Intense Parfumeur Createur,نيرولي انتنس أودو,4.2,3.7,3.3,2018,550,عطر نيرولي انتنس أودو,roli Intense Parfumeur Createur
829,Roja Parfums,روجا بارفيومز,Nuwa Dove,دوف نوا,4.15,3.8,3.3,2014,1850,عطر دوف نوا,Nuwa Dove
830,AMOUAGE,امواج,Existence,اكسيستنس,3.85,4.1,3.6,2025,350,عطر اكسيستنس,Existence
831,AMOUAGE,امواج,M,جوبليشن الرجالي,3.85,4.1,3.6,2025,650,عطر جوبليشن الرجالي,M
832,Azzaro,ازارو,Forever Wanted Absolu Azzar,فور ايفر ابسولو,3.95,4,3.5,2026,345,عطر فور ايفر ابسولو,Forever Wanted Absolu Azzar
833,BVLGARI,بولغاري,Man In Black Essence,مان ان بلاك ايسنس,4,3.8,3.6,2017,200,عطر مان ان بلاك ايسنس,Man In Black Essence
834,BVLGARI,بولغاري,Oui Tiger,صمام اوي تايجر,4.45,3.5,3,2016,9,عطر صمام اوي تايجر,Oui Tiger
835,BVLGARI,بولغاري,Tygar,تيغار,4.45,3.5,3,2016,380,عطر تيغار,Tygar
836,Carolina Herra,كارولينا هيريرا,Herrera 212 VIP Black Red,بلاك رد الرجالي,3.95,3.9,3.6,2020,250,عطر بلاك رد الرجالي,Herrera 212 VIP Black Red
837,Carolina Herrera,كارولينا,CH,هيريرا الرجالي,4.3,3.4,3.4,2015,320,عطر هيريرا الرجالي,CH
838,Dior,كريستيان ديور,Miss Original,مس اورجينال,3.95,4,3.5,1992,540,عطر مس اورجينال,Miss Original
839,Dolce Gabbana,دولتشي غابانا,& The One Royal Night,ليل ملكي,4,3.8,3.6,2015,330,عطر ليل ملكي,& The One Royal Night
840,Giorgio Armani,ارماني,Eau de Nuit Oud,نوي عود,4,3.8,3.6,2016,250,عطر نوي عود,Eau de Nuit Oud
841,J.F.,جي أف شوارزلوس برلين,Rausch JF Schwarzlose Berlin,رأوش,4.1,3.8,3.4,2012,650,عطر رأوش,Rausch JF Schwarzlose Berlin
842,Mancera,مانسيرا,Roses Vanille Hair,روز فانيلا للشعر,4,3.9,3.5,2011,335,عطر روز فانيلا للشعر,Roses Vanille Hair
843,Mancera,مانسيرا,Wild Leather,وايلد ليذر,3.6,4.2,4,2014,345,عطر وايلد ليذر,Wild Leather
844,NarcisoRodriguez,نرسيسو رودريغز,Narciso Rodriguez Fleur Musc FLorale,نارسيسو فلور مسك فلورال,3.95,3.9,3.6,2020,370,عطر نارسيسو فلور مسك فلورال,Narciso Rodriguez Fleur Musc FLorale
845,Prada,برادا,L’Homme Absolu,ال هوم ابسولو الرجالي,4,3.8,3.6,2018,340,عطر ال هوم ابسولو الرجالي,L’Homme Absolu
846,Provenzano,بروفينزانو,Palazzo Christian,كريستيان بروفنزانو بالازو دى,4,3.9,3.5,2023,800,عطر كريستيان بروفنزانو بالازو دى,Palazzo Christian
847,Sospiro,سوسبيرو,Prima Donna,بريما دونا,4,4,3.4,2022,870,عطر بريما دونا,Prima Donna
