rank,brand,brand_ar,name_en,name_ar,rating,longevity,projection,year,price_ref,keyword_ar,keyword_en
1,Amado,امادو,Veneno,فينينو,5,5,3.8,2023,270,عطر فينينو,Veneno
2,Louis Vuitton,لويس فيتون,Pur Ambre,بور عنبر,4.63,4.8,4.6,2024,3100,عطر بور عنبر,Pur Ambre
3,Amado,امادو,Nuit de Reve,أمادو نوي ريف,4.88,4.2,4.1,2020,600,عطر أمادو نوي ريف,Nuit de Reve
4,Amado,امادو,Sublime,سوبليم,4.67,4,4.7,2017,17,عطر سوبليم,Sublime
5,Amado,امادو,Cuir Sublime,كيور سوبليم أمادو,5,4,3.8,2023,650,عطر كيور سوبليم أمادو,Cuir Sublime
6,Amado,امادو,Opulent,اوبيلنت,5,4,3.8,2017,320,عطر اوبيلنت,Opulent
7,Ramon Monegal,رامون مونيجال,Alhambra Oud,مونيغال الحمراء عود,4.63,4.5,4,2019,1050,عطر مونيغال الحمراء عود,Alhambra Oud
8,Unique'e Luxury,يونيك لاكجري,Woud And Mood Absolute,لكجري وود اند مود ابسلوتي,4.52,4.5,4.2,2024,1200,عطر لكجري وود اند مود ابسلوتي,Woud And Mood Absolute
9,Louis Vuitton,لويس فيتون,Stellar Times,ستيلار تايمز,4.44,4.5,4.3,2021,500,عطر ستيلار تايمز,Stellar Times
10,Louis Vuitton,لويس فيتون,RHAPSODY,رابسودي,4.14,4.7,4.5,2021,35,عطر رابسودي,RHAPSODY
11,Unique'e Luxury,يونيك لاكجري,Kutay,لكجري كوتاي,4.24,4.6,4.4,2019,240,عطر لكجري كوتاي,Kutay
12,Unique'e Luxury,يونيك لاكجري,Crush On Me,كراش اون مي لكجري,4.25,4.6,4.3,2021,900,عطر كراش اون مي لكجري,Crush On Me
13,Giorgio Armani,ارماني,You Intensely,يو انتنسلي,4.58,4.2,4,2018,12,عطر يو انتنسلي,You Intensely
14,Zegna,زينيا,Indonesian Oud Ermenegildo,اندونيسيان عود,4.58,4.3,3.9,2019,290,عطر اندونيسيان عود,Indonesian Oud Ermenegildo
15,Louis Vuitton,لويس فيتون,Ombre Nomade,عنبر نوماد,4.26,4.5,4.3,2018,440,عطر عنبر نوماد,Ombre Nomade
16,Nishane,نيشاني,Mana,مانا,4.21,4.6,4.3,2022,900,عطر مانا,Mana
17,Tory Burch,توري بورش,Daring Rose,ديرينج روز ليذر,4.75,4,3.8,2024,550,عطر ديرينج روز ليذر,Daring Rose
18,Provenzano,بروفينزانو,Inspirato Christian,كريستيان بروفنزانو انسبيراتو دى,4.53,4.4,3.8,2023,800,عطر كريستيان بروفنزانو انسبيراتو دى,Inspirato Christian
19,Montale,مونتال,Arabians Tonka,ارابيانز تونكا,4.22,4.5,4.3,2019,370,عطر ارابيانز تونكا,Arabians Tonka
20,FREDERIC MALLE,فريدريك مال,The Moon,القمر,4.25,4.5,4.2,2019,750,عطر القمر,The Moon
21,Roja Parfums,روجا بارفيومز,Enigma Pour Homme Dove,انجما الرجالي,4.58,4.3,3.7,2013,1800,عطر انجما الرجالي,Enigma Pour Homme Dove
22,Roja Parfums,روجا بارفيومز,Enigma Pour Homme Parfum,انيجما بور هوم,4.58,4.3,3.7,2013,17,عطر انيجما بور هوم,Enigma Pour Homme Parfum
23,XERJOFF,زيرجوف,Alexandria II Anniversary,الكسندريا انيفيرسري,4.28,4.5,4.1,2024,1350,عطر الكسندريا انيفيرسري,Alexandria II Anniversary
24,Boadicea,بوديسيا ذا فيكتوريوس,Alkout,الكوت,4.22,4.6,4.1,2020,1850,عطر الكوت,Alkout
25,Bois,بويس,D’AKSUM,اوشال بوا داكسوم,4.67,4,3.8,2024,260,عطر اوشال بوا داكسوم,D’AKSUM
26,Louis Vuitton,لويس فيتون,Sables Roses,لي سابيلس روزيس,4.42,4.3,4,2019,1300,عطر لي سابيلس روزيس,Sables Roses
27,Unique'e Luxury,يونيك لاكجري,Beverly Hills Exclusive,بيفرلي هيلز اكسليوسف لكجري,4.42,4.4,3.9,2021,900,عطر بيفرلي هيلز اكسليوسف لكجري,Beverly Hills Exclusive
28,Unique'e Luxury,يونيك لاكجري,Akdeniz,اكدنيز لكجري,4.1,4.5,4.4,2019,240,عطر اكدنيز لكجري,Akdeniz
29,Montale,مونتال,Arabians,ارابيانز,3.89,4.7,4.6,2019,360,عطر ارابيانز,Arabians
30,Montale,مونتال,Black Aoud,بلاك عود,3.93,4.6,4.6,2006,350,عطر بلاك عود,Black Aoud
31,Nilafar du Nil,نيلافار دو نيل,Catamaran,كاتاماران,4.38,4.5,3.8,2024,11,عطر كاتاماران,Catamaran
32,Louis Vuitton,لويس فيتون,Fleur du Desert,فلور ديزرت,4.36,4.3,4,2022,1180,عطر فلور ديزرت,Fleur du Desert
33,AMOUAGE,امواج,Interlude,انترلود النسائي,3.9,4.6,4.6,2012,730,عطر انترلود النسائي,Interlude
34,Amado,امادو,Immortal Oud,امورتال عود من أمادو,4.6,4,3.8,2014,17,عطر امورتال عود من أمادو,Immortal Oud
35,Dior,كريستيان ديور,Sauvage Elixir,سوفاج إلكسير,4.3,4.5,3.9,2021,15,عطر سوفاج إلكسير,Sauvage Elixir
36,FREDERIC MALLE,فريدريك مال,Promise,الوعد من,4.2,4.5,4.1,2017,370,عطر الوعد من,Promise
37,Kilian,كيليان,Musk Oud BY,باي مسك عود,4.35,4.3,4,2013,20,عطر باي مسك عود,Musk Oud BY
38,Nilafar du Nil,نيلافار دو نيل,Merit,ميرت ادو,4.2,4.5,4.1,2022,11,عطر ميرت ادو,Merit
39,Unique'e Luxury,يونيك لاكجري,Zen’gi,لكجري زينجي اكسترايت,4.25,4.5,4,2023,320,عطر لكجري زينجي اكسترايت,Zen’gi
40,BVLGARI,بولغاري,Falkar,جيمي فالكار,4.39,4.4,3.8,2019,375,عطر جيمي فالكار,Falkar
41,Maison Crivelli,مايزون كريفيلي,Oud Maracuja,كريفيل عود ماراكوجا,4.19,4.5,4.1,2023,1100,عطر كريفيل عود ماراكوجا,Oud Maracuja
42,Mancera,مانسيرا,Black To Black,بلاك تو,4.04,4.5,4.4,,350,عطر بلاك تو,Black To Black
43,Mancera,مانسيرا,Gold Prestigium,قولد بريستيجيوم,4.14,4.4,4.3,2016,330,عطر قولد بريستيجيوم,Gold Prestigium
44,Nishane,نيشاني,Nefs,نيفس,4.34,4.4,3.9,2019,1150,عطر نيفس,Nefs
45,Vertus,فيرتس,Rouge Rebel,روج ريبيل,4.13,4.5,4.2,2025,670,عطر روج ريبيل,Rouge Rebel
46,BVLGARI,بولغاري,Gemme Astrea,بلغاري لو جيم آستريا,4.43,4.2,3.9,2021,950,عطر بلغاري لو جيم آستريا,Gemme Astrea
47,AMOUAGE,امواج,Interlude 53,انترلود,4.12,4.5,4.2,2012,320,عطر انترلود,Interlude 53
48,AMOUAGE,امواج,Interlude Man,انترلود الرجالي,4.12,4.5,4.2,2012,500,عطر انترلود الرجالي,Interlude Man
49,AMOUAGE,امواج,X10ML ATOMIZERS,طقم أنترلود,4.12,4.5,4.2,2012,440,عطر طقم أنترلود,X10ML ATOMIZERS
50,Unique'e Luxury,يونيك لاكجري,Chypre Toscano,تشيبر توسكانو من لكجري,4.37,4.3,3.9,2018,650,عطر تشيبر توسكانو من لكجري,Chypre Toscano
51,Viktor Rolf,فيكتور اند رولف,& Spicebomb,سبايس بومب,4.31,4.2,4.1,2015,380,عطر سبايس بومب,& Spicebomb
52,XERJOFF,زيرجوف,Homme Anniversary,هوم انيفيرسري,4.56,4.2,3.6,2024,850,عطر هوم انيفيرسري,Homme Anniversary
53,Amado,امادو,L'amateur,لاماتور من أمادو,4.75,4,3.4,2020,750,عطر لاماتور من أمادو,L'amateur
54,Louis Vuitton,لويس فيتون,Nouveau Monde,نوفا موند من,4.24,4.4,4,2018,1000,عطر نوفا موند من,Nouveau Monde
55,Louis Vuitton,لويس فيتون,Pur Oud,بيور عود,3.79,4.7,4.6,2021,1400,عطر بيور عود,Pur Oud
56,Boadicea,بوديسيا ذا فيكتوريوس,THE VICTORIOUS Carbon Sapphire,كاربون سافير,4.58,4.1,3.6,2019,2900,عطر كاربون سافير,THE VICTORIOUS Carbon Sapphire
57,Louis Vuitton,لويس فيتون,Symphony,سيمفوني,4.47,4.2,3.7,2021,35,عطر سيمفوني,Symphony
58,Lorenzo,لورينزو بازاليا,Black Sea Pazzaglia,لورنزو بازاجليا بلاك سي اكسترايت,4.16,4.4,4.1,2019,570,عطر لورنزو بازاجليا بلاك سي اكسترايت,Black Sea Pazzaglia
59,Maison Crivelli,مايزون كريفيلي,Oud Stallion,كريفيل عود ستاليون,4.21,4.5,3.9,2023,1130,عطر كريفيل عود ستاليون,Oud Stallion
60,Mancera,مانسيرا,Aoud Vanille,عود فانيلا,4.16,4.3,4.2,2015,350,عطر عود فانيلا,Aoud Vanille
61,Mizensir,ميزنسير,Golden Oud,جولدن عود,4.51,4.2,3.6,2020,670,عطر جولدن عود,Golden Oud
62,Pazzaglia,لورنزو بازاجليا,Black Sea Lorenzo,بلاك سي,4.16,4.4,4.1,2019,20,عطر بلاك سي,Black Sea Lorenzo
63,Vertus,فيرتس,Bengal,فيرتوس بنغال,4.21,4.4,4,2023,650,عطر فيرتوس بنغال,Bengal
64,jar,رامون بيجار,Luz Infinita Ramon Bejar,لوز إنفينيتا,4.26,4.3,4,2025,1250,عطر لوز إنفينيتا,Luz Infinita Ramon Bejar
65,Amado,امادو,Velvet Patchouli,فيلفت باتشولي,4.5,4,3.8,2020,320,عطر فيلفت باتشولي,Velvet Patchouli
66,Ramon Monegal,رامون مونيجال,Soul Of Oud,سول أوف عود من,4.45,4.2,3.7,2017,1050,عطر سول أوف عود من,Soul Of Oud
67,TOM FORD,توم فورد,Tobacco Vanille,توباكو فانيل,4.15,4.3,4.2,2007,350,عطر توباكو فانيل,Tobacco Vanille
68,Orto Parisi,اورتو باريسي,Megamare,ميغاماري من,3.9,4.6,4.4,2019,550,عطر ميغاماري من,Megamare
69,Giorgio Armani,ارماني,Emporio Stronger With You,امبوريو سترونجر ويذ يو الرجالي,4.29,4.2,4,2018,360,عطر امبوريو سترونجر ويذ يو الرجالي,Emporio Stronger With You
70,Ormonde Jayne,اورموند جين,Nawab of Oudh Intensivo,ارموند نواب أوف عود اينتينسيفو,4.59,4,3.6,2015,950,عطر ارموند نواب أوف عود اينتينسيفو,Nawab of Oudh Intensivo
71,XERJOFF,زيرجوف,Alexandria II,الكسندريا,4.24,4.4,3.9,2012,750,عطر الكسندريا,Alexandria II
72,XERJOFF,زيرجوف,Oud Stars Alexandria II Perfumed Hair,عود ستارز أليكساندريا للشعر,4.24,4.4,3.9,2012,375,عطر عود ستارز أليكساندريا للشعر,Oud Stars Alexandria II Perfumed Hair
73,XERJOFF,زيرجوف,discovery II 2,طقم ديسكفري,4.24,4.4,3.9,2012,670,عطر طقم ديسكفري,discovery II 2
74,Provenzano,بروفينزانو,Oud Al Fayed Christian,كريستيان بروفنزانو عود الفايد,4.53,4.1,3.6,2018,550,عطر كريستيان بروفنزانو عود الفايد,Oud Al Fayed Christian
75,jar,رامون بيجار,Black Stone Ramon Bejar,بلاك ستون,4.48,4.1,3.7,2023,21,عطر بلاك ستون,Black Stone Ramon Bejar
76,Orto Parisi,اورتو باريسي,Terroni,تيروني,4.18,4.4,4,2017,620,عطر تيروني,Terroni
77,Vertus,فيرتس,Sole Patchouli,فيرتوس سول باتشولي,4.22,4.2,4.1,2017,240,عطر فيرتوس سول باتشولي,Sole Patchouli
78,AMOUAGE,امواج,Decision,ديسيجن,4.31,4.3,3.8,2025,360,عطر ديسيجن,Decision
79,Boadicea,بوديسيا ذا فيكتوريوس,Nebulous THE VICTORIOUS,نيبولوس,4.21,4.4,3.9,2017,3600,عطر نيبولوس,Nebulous THE VICTORIOUS
80,Boadicea,بوديسيا ذا فيكتوريوس,THE VICTORIOUS MIDNIGHT,ميدنايت,4.21,4.4,3.9,2017,1100,عطر ميدنايت,THE VICTORIOUS MIDNIGHT
81,Guerlain,غيرلان,Mon Intense,مون انتنس,4.31,4.1,4,2019,465,عطر مون انتنس,Mon Intense
82,Viktor Rolf,فيكتور اند رولف,& Spicebomb Extreme,سبايس بومب اكستريم,4.2,4.2,4.1,2015,13,عطر سبايس بومب اكستريم,& Spicebomb Extreme
83,BVLGARI,بولغاري,Gemme Sahare,لوجيم صحاري,4.25,4.3,3.9,2024,950,عطر لوجيم صحاري,Gemme Sahare
84,Cartier,كارتير,Eau Concentree,كونسنتريه,4.25,4.2,4,1981,310,عطر كونسنتريه,Eau Concentree
85,Nasomatto,ناسوماتو,Duro,دورو,4.05,4.4,4.2,2007,25,عطر دورو,Duro
86,AMOUAGE,امواج,Overture Man,اوفرتشر مان,4.24,4.3,3.9,2019,320,عطر اوفرتشر مان,Overture Man
87,Initio,انيشيو,Oud for Greatness Parfums Prives,عود فور جريتنس,4.24,4.3,3.9,2018,18,عطر عود فور جريتنس,Oud for Greatness Parfums Prives
88,Mancera,مانسيرا,Red Tobacco,رد توباكو,4.03,4.5,4.1,2017,350,عطر رد توباكو,Red Tobacco
89,AMOUAGE,امواج,Outlands,اوتلاندس,4.32,4.3,3.7,2024,1600,عطر اوتلاندس,Outlands
90,Maison Crivelli,مايزون كريفيلي,Cuir InfraRouge,كريفيل كوين انفراروج,4.32,4.3,3.7,2024,28,عطر كريفيل كوين انفراروج,Cuir InfraRouge
91,Rosendo Mateu,روسيندو ماتيو,No 5 Elixir Olfactive Expressions and men,نمبر اليكسير,4.37,4.2,3.7,2024,750,عطر نمبر اليكسير,No 5 Elixir Olfactive Expressions and men
92,Valentino,فالنتينو,Valentina Myrrh Assoluto,ميرا اسولوتو الرصاصي,4.42,4,3.8,2016,395,عطر ميرا اسولوتو الرصاصي,Valentina Myrrh Assoluto
93,Mancera,مانسيرا,Aoud Exclusif,عود اكسيكلوسف,4.22,4.3,3.9,2018,360,عطر عود اكسيكلوسف,Aoud Exclusif
94,AMOUAGE,امواج,The Library Collection Opus VI,اوبس السادس,4.26,4.3,3.8,2012,14,عطر اوبس السادس,The Library Collection Opus VI
95,Clive Christian,كلايف كريستيان,C by,سي النسائي,4.36,4.2,3.7,2010,750,عطر سي النسائي,C by
96,Maison Crivelli,مايزون كريفيلي,Hibiscus Mahajad,كريفيل هيبيسكيس مهاجاد,4.16,4.4,3.9,2021,30,عطر كريفيل هيبيسكيس مهاجاد,Hibiscus Mahajad
97,jar,رامون بيجار,Deep Amber Ramon Bejar,ديب عمبر,4.41,4.1,3.7,2014,660,عطر ديب عمبر,Deep Amber Ramon Bejar
98,Gucci,قوتشي,Guilty Oud,غليتي عود,4.15,4.2,4.1,2018,260,عطر غليتي عود,Guilty Oud
99,Provenzano,بروفينزانو,Cuir Elite CHRISTIAN,كريستيان بروفنزانو كوير إيليت,4.4,4.2,3.6,2019,16,عطر كريستيان بروفنزانو كوير إيليت,Cuir Elite CHRISTIAN
100,XERJOFF,زيرجوف,Knots,عقدة,4.25,4.1,4,2012,900,عطر عقدة,Knots
101,Lux,لوكس,Roja Haute Luxe Roja Dove,روجا هوت,4.2,4.3,3.9,2013,3450,عطر روجا هوت,Roja Haute Luxe Roja Dove
102,Roja Parfums,روجا بارفيومز,Haute Luxe Dove,هوت لوكس,4.2,4.3,3.9,2013,11800,عطر هوت لوكس,Haute Luxe Dove
103,Lorenzo,لورينزو بازاليا,Evil Angel a.k.a. 28.09 Pazzaglia,لورنزو بازاجليا ايفل انجل اكسترايت,4.29,4.2,3.8,2022,600,عطر لورنزو بازاجليا ايفل انجل اكسترايت,Evil Angel a.k.a. 28.09 Pazzaglia
104,Pazzaglia,لورنزو بازاجليا,Evil Angel a.k.a. 28.09 Lorenzo,ايفل انجل,4.29,4.2,3.8,2022,20,عطر ايفل انجل,Evil Angel a.k.a. 28.09 Lorenzo
105,Unique'e Luxury,يونيك لاكجري,Mashumaro,ماشومارو من لكجري,3.94,4.5,4.2,2023,980,عطر ماشومارو من لكجري,Mashumaro
106,Tauer Perfumes,اندي تاور,Sert,قلب الصحراء المغربية آندي,4.48,4.1,3.5,2016,27,عطر قلب الصحراء المغربية آندي,Sert
107,Lorenzo,لورينزو بازاليا,Pazzaglia Fom,لورنزو بازاجليا فوم,4.13,4.3,4,2022,750,عطر لورنزو بازاجليا فوم,Pazzaglia Fom
108,MDCI Parfums,ام دي سي آي,Chypre Palatin,تشيبر بلاتين اي,4.43,4.2,3.5,2012,900,عطر تشيبر بلاتين اي,Chypre Palatin
109,Pazzaglia,لورنزو بازاجليا,Lorenzo Fom,فوم,4.13,4.3,4,2022,20,عطر فوم,Lorenzo Fom
110,Roja Parfums,روجا بارفيومز,Diaghilev Dove,دياغيليف,4.28,4.3,3.7,,3600,عطر دياغيليف,Diaghilev Dove
111,Pana Dora,بانا دورا,Oud Republic,بانادورا عود ريبابلك,4.37,4.2,3.6,2023,780,عطر بانادورا عود ريبابلك,Oud Republic
112,Boadicea,بوديسيا ذا فيكتوريوس,Blue Sapphire THE VICTORIOUS,بلو سافير,4.17,4.3,3.9,2013,550,عطر بلو سافير,Blue Sapphire THE VICTORIOUS
113,Paco Rabanne,باكو رابان,Invictus Victory Elixir,انفكتوس اليكسير,4.52,4,3.5,2023,430,عطر انفكتوس اليكسير,Invictus Victory Elixir
114,Sospiro,سوسبيرو,Erba Pura Magica,ايربا بورا ماجيكا,4.27,4.2,3.8,2022,770,عطر ايربا بورا ماجيكا,Erba Pura Magica
115,Van Cleef,فان كليف اند اربلز,Murmure Ylang de Madagascar & Arpels,اربل مورمور,4.27,4.1,3.9,2004,240,عطر اربل مورمور,Murmure Ylang de Madagascar & Arpels
116,Cartier,كارتير,Oud & Rose,عود آند روز,4.36,4.2,3.6,2014,1050,عطر عود آند روز,Oud & Rose
117,AMOUAGE,امواج,Myths Man,ميث الرجالي,4.31,4.2,3.7,2016,750,عطر ميث الرجالي,Myths Man
118,AMOUAGE,امواج,ROYAL TOBACCO,اوبس رويال توباكو,4.21,4.3,3.8,2022,20,عطر اوبس رويال توباكو,ROYAL TOBACCO
119,Boucheron,بوشرون,Jaipur Homme,جايبور هوم الرجالي,4.26,4.1,3.9,1998,220,عطر جايبور هوم الرجالي,Jaipur Homme
120,Giorgio Armani,ارماني,Rouge Malachite,روج ملاكيت,4.21,4.1,4,2016,1050,عطر روج ملاكيت,Rouge Malachite
121,Givenchy,جيفنشي,L’interdit Intense,لا انترديت انتنس,4.16,4.2,4,2020,360,عطر لا انترديت انتنس,L’interdit Intense
122,Jean Paul Gaultier,غوتييه,Beau,جان بول غولتير لو بو الرجالي,4.31,4,3.9,2022,480,عطر جان بول غولتير لو بو الرجالي,Beau
123,JeanPaulGaultie,جان بول غولتير,Jean Paul Gaultier Ultra Male Intense,الترا ميل الرجالي انتنس,4.51,4,3.5,2023,385,عطر الترا ميل الرجالي انتنس,Jean Paul Gaultier Ultra Male Intense
124,JeanPaulGaultie,جان بول غولتير,Male Elixir Jean Paul Gaultier,غوتييه لي مال الكسير الرجالي,4.51,4,3.5,2023,480,عطر غوتييه لي مال الكسير الرجالي,Male Elixir Jean Paul Gaultier
125,Nishane,نيشاني,Hacivat,هاشيفات اكسترايت,4.31,4.2,3.7,2017,230,عطر هاشيفات اكسترايت,Hacivat
126,Nishane,نيشاني,Hacivat Hair And Body Oil,زيت الشعر والجسم من نيشان هاشيفات,4.31,4.2,3.7,2017,360,عطر زيت الشعر والجسم من نيشان هاشيفات,Hacivat Hair And Body Oil
127,Sospiro,سوسبيرو,Aira and men,ايرا,4.46,4,3.6,2025,770,عطر ايرا,Aira and men
128,AMOUAGE,امواج,Interlude Black Iris,انترلود بلاك ايريس الرجالي,4.2,4.3,3.8,2020,260,عطر انترلود بلاك ايريس الرجالي,Interlude Black Iris
129,Dior,كريستيان ديور,Addict,اديكت الكحلي,4.15,4.2,4,2014,550,عطر اديكت الكحلي,Addict
130,Gucci,قوتشي,Oud,عود النسائي,4.15,4.2,4,2015,390,عطر عود النسائي,Oud
131,Jesus Del Pozo,خيسوس دل بوزو,Mystic Leather Nights,جي ديل ميستك ليذر نايتس,4.35,4.1,3.7,2017,285,عطر جي ديل ميستك ليذر نايتس,Mystic Leather Nights
132,Maison Crivelli,مايزون كريفيلي,Sana,ميزون كريفلي مسك نوراسانا,4.1,4.4,3.9,2026,950,عطر ميزون كريفلي مسك نوراسانا,Sana
133,Provenzano,بروفينزانو,Christian,طقم عينات عطور كريستيان بروفنزانو,4,4.4,4.1,2025,170,عطر طقم عينات عطور كريستيان بروفنزانو,Christian
134,Roberto Cavalli,روبرتو كفالي,Sumptuous Rose,كافالي سامبتوس روز,4.35,4.3,3.5,2016,690,عطر كافالي سامبتوس روز,Sumptuous Rose
135,Sospiro,سوسبيرو,Erba Leather,ايربا ليذر,4.1,4.4,3.9,2022,850,عطر ايربا ليذر,Erba Leather
136,Unique'e Luxury,يونيك لاكجري,Mangonifiscent,لكجري مانغونيفسنت,4,4.4,4.1,2023,310,عطر لكجري مانغونيفسنت,Mangonifiscent
137,Valentino,فالنتينو,Donna Noir Absolu,دونا نوار ابسولو النسائي,4.15,4.2,4,2017,490,عطر دونا نوار ابسولو النسائي,Donna Noir Absolu
138,Valentino,فالنتينو,Uomo,اومو,4.15,4.2,4,2016,470,عطر اومو,Uomo
139,Valentino,فالنتينو,Uomo Intense,اومو انتنس,4.15,4.2,4,2016,500,عطر اومو انتنس,Uomo Intense
140,Alghabra,الغبرا,Eye of Seven Hills Parfums,اي سفن هيلز,4.49,4,3.5,2019,450,عطر اي سفن هيلز,Eye of Seven Hills Parfums
141,Boadicea,بوديسيا ذا فيكتوريوس,Legend THE VICTORIOUS,ليجند,4.34,4.1,3.7,2014,570,عطر ليجند,Legend THE VICTORIOUS
142,Cartier,كارتير,Oud & Ambre,عود اند عنبر,4.59,4,3.3,2020,1100,عطر عود اند عنبر,Oud & Ambre
143,Lorenzo,لورينزو بازاليا,Pax Pazzaglia and men,لورنزو بازاجليا باكس,4.09,4.3,4,2017,570,عطر لورنزو بازاجليا باكس,Pax Pazzaglia and men
144,Lorenzo,لورينزو بازاليا,Pazzaglia,طقم عينات لجميع عطور لورنزو بازاجليا,4.09,4.3,4,2017,220,عطر طقم عينات لجميع عطور لورنزو بازاجليا,Pazzaglia
145,Nilafar du Nil,نيلافار دو نيل,TOWA,طوى,4.34,4.2,3.6,2022,11,عطر طوى,TOWA
146,XERJOFF,زيرجوف,Alexandria III,عود ستارز الكسندريا,4.24,4.2,3.8,2019,26,عطر عود ستارز الكسندريا,Alexandria III
147,XERJOFF,زيرجوف,Naxos,ناكسوس,4.49,4,3.5,2015,740,عطر ناكسوس,Naxos
148,XERJOFF,زيرجوف,discovery III 3,طقم ديسكفري,4.24,4.2,3.8,2019,680,عطر طقم ديسكفري,discovery III 3
149,Boadicea,بوديسيا ذا فيكتوريوس,Dasman THE VICTORIOUS,دسمان,4.28,4.2,3.7,2018,25,عطر دسمان,Dasman THE VICTORIOUS
150,Dior,كريستيان ديور,Christian Hypnotic Poison,هيبنوتيك بويزن,4.08,4.2,4.1,1998,600,عطر هيبنوتيك بويزن,Christian Hypnotic Poison
151,FREDERIC MALLE,فريدريك مال,The Night,الليل من فردريك,3.98,4.4,4.1,2014,1200,عطر الليل من فردريك,The Night
152,Louis Vuitton,لويس فيتون,Nuit de Feu,نوي فو,4.08,4.3,4,2020,1200,عطر نوي فو,Nuit de Feu
153,Nishane,نيشاني,Hacivat Oud,هاشيفات عود,4.03,4.4,4,2023,910,عطر هاشيفات عود,Hacivat Oud
154,Boadicea,بوديسيا ذا فيكتوريوس,Amber Sapphire,عنبر سافير,4.22,4.2,3.8,2015,1600,عطر عنبر سافير,Amber Sapphire
155,FREDERIC MALLE,فريدريك مال,Hope,أمل,4.17,4.3,3.8,2024,2600,عطر أمل,Hope
156,Louis Vuitton,لويس فيتون,Au Hasard,هاسارد,4.37,4,3.7,2018,950,عطر هاسارد,Au Hasard
157,Nishane,نيشاني,Shem,شيم اكسترايت,4.07,4.4,3.9,2021,920,عطر شيم اكسترايت,Shem
158,Unique'e Luxury,يونيك لاكجري,Istanbul,اسطنبول لكجري,4.32,4.1,3.7,2018,240,عطر اسطنبول لكجري,Istanbul
159,XERJOFF,زيرجوف,Richwood,ريتش وود,4.42,4,3.6,2010,1120,عطر ريتش وود,Richwood
160,Lorenzo,لورينزو بازاليا,Dangerous Maryx Pazzaglia,بازاجليا دينجوريس ماريكس,4.17,4.1,4,2021,570,عطر بازاجليا دينجوريس ماريكس,Dangerous Maryx Pazzaglia
161,Pazzaglia,لورنزو بازاجليا,Dangerous Maryx Lorenzo,لورينزو دينجوريس ماريكس,4.17,4.1,4,2021,20,عطر لورينزو دينجوريس ماريكس,Dangerous Maryx Lorenzo
162,XERJOFF,زيرجوف,Tony Iommi Monkey Speciail,توني ايومي مونكي سبيشيال,4.27,4.2,3.7,2021,25,عطر توني ايومي مونكي سبيشيال,Tony Iommi Monkey Speciail
163,XERJOFF,زيرجوف,Tony Iommi Monkey Special,توني ايومي مونكي سبيشيال,4.27,4.2,3.7,2021,750,عطر توني ايومي مونكي سبيشيال,Tony Iommi Monkey Special
164,Etat,ايتات ليبر دي اورانج,Rien Intense Incense Libre d'Orange,ايتا ليبري رين انتنس,3.96,4.4,4.1,2014,14,عطر ايتا ليبري رين انتنس,Rien Intense Incense Libre d'Orange
165,Parfums de Marly,مارلي,Carlisle,كارلايل,4.36,4.1,3.6,2015,280,عطر كارلايل,Carlisle
166,Initio,انيشيو,Atomic Rose Parfums Prives,اتوميك روز,4.26,4.1,3.8,2019,860,عطر اتوميك روز,Atomic Rose Parfums Prives
167,Lorenzo,لورينزو بازاليا,Dream Sea Pazzaglia,لورنزو بازاجليا دريم سي اكسترايت,4.15,4.3,3.8,2021,600,عطر لورنزو بازاجليا دريم سي اكسترايت,Dream Sea Pazzaglia
168,Nilafar du Nil,نيلافار دو نيل,Tiba,طيبة,4.3,4.2,3.6,2022,420,عطر طيبة,Tiba
169,Pazzaglia,لورنزو بازاجليا,Dream Sea Lorenzo,دريم سي,4.15,4.3,3.8,2021,20,عطر دريم سي,Dream Sea Lorenzo
170,Amado,امادو,MAGIC SAPPHIRE,اوماجيك سافير,4.1,4,4.2,2026,661,عطر اوماجيك سافير,MAGIC SAPPHIRE
171,Bentley,بنتلي,Intense,انتنس الرجالي,4.1,4.2,4,2013,230,عطر انتنس الرجالي,Intense
172,Chanel,شانيل,Coco Mademoiselle Intense,كوكو مودموزيل انتنس,4.1,4.2,4,2018,520,عطر كوكو مودموزيل انتنس,Coco Mademoiselle Intense
173,Mancera,مانسيرا,The Aoud,ذا عود,3.9,4.4,4.2,2011,340,عطر ذا عود,The Aoud
174,Widian,ويديان,London,وديان أيه جاي أرابيا نيو يورك,4.35,4.1,3.6,2018,580,عطر وديان أيه جاي أرابيا نيو يورك,London
175,XERJOFF,زيرجوف,1888,كاساموراتي,4.2,4.3,3.7,2026,850,عطر كاساموراتي,1888
176,XERJOFF,زيرجوف,Alexandria Orientale,اليكسندريا اورينتال,4.1,4.3,3.9,2018,850,عطر اليكسندريا اورينتال,Alexandria Orientale
177,XERJOFF,زيرجوف,Orientale Oud Stars Alexandria UAE Exclusive Edition,عود ستارز اليكسندريا اورينتال,4.1,4.3,3.9,2018,1100,عطر عود ستارز اليكسندريا اورينتال,Orientale Oud Stars Alexandria UAE Exclusive Edition
178,Gucci,قوتشي,The Voice Of The Snake,ذا فويس أوف سناك,4.14,4.2,3.9,2019,868,عطر ذا فويس أوف سناك,The Voice Of The Snake
179,Nilafar du Nil,نيلافار دو نيل,Tuya,تايا ادو للسيدات,4.24,4.1,3.8,2022,420,عطر تايا ادو للسيدات,Tuya
